UBIOTA,POS,UBIOTA AUDIO,TRANSLATION,ILLUSTRATION,UDJE 1,UDJE 1 AUDIO,EXAMPLE 1,UDJE 2,UDJE 2 AUDIO,EXAMPLE 2,RATE ENTRY,Total_Rating_Sum,Rating_Count,_RATE_SUM,_RATE_COUNT
aghware,n. ,,wisdom,,,,,,,,0,,,0,0
aghwoghwo,n. ,,announcement,,,,,,,,0,,,0,0
aghwọn,n. ,,‘hamster’ [B. there are no hamsters in Nigeria. Perhaps a bush-rat?],,,,,,,,0,,,0,0
agọ,n. ,,"camp, temporary settlement",,,,,,,,0,,,0,0
ágógó,n. ,,"gong, bell",,,,,,,,0,,,0,0
aguare,n. ,,court,,,,,,,,0,,,0,0
áhe,n. ,,owl-like bird,,,,,,,,0,,,0,0
ahọnre,n. ,,sound of snoring,,,,,,,,0,,,0,0
ahwa,n. ,,pliers,,,,,,,,0,,,0,0
ahworhẹ,n. ,,sponge,,,,,,,,0,,,0,0
aka1,n. ,,Urhobo name for the Edo (Bini) people and their language,,,,,,,,0,,,0,0
akaba,n. ,,specie of gong,,,,,,,,0,,,0,0
akaínọrọ,n. ,,snake monitor,,,,,,,,0,,,0,0
ákán2,n. ,,bitter kola,,,,,,,,0,,,0,0
akara,n. ,,bean-cake,,,,,,,,0,,,0,0
akikó,n. ,,water-snail,,,,,,,,0,,,0,0
akobẹ,n. ,,metal trap used for catching small animals such as rats,,,,,,,,0,,,0,0
akoríruo,n. ,,office,,,,,,,,0,,,0,0
akpakpasímagha,n. ,,scorpion,,,,,,,,0,,,0,0
akpan,n. ,,"baldness, bald head",,,,,,,,0,,,0,0
ákpánurhé,n. ,,stool,,,,,,,,0,,,0,0
ákpátá,n. ,,"mouth-organ, organ",,,,,,,,0,,,0,0
ákpẹvwẹ,n. ,,thanksgiving,,,,,,,,0,,,0,0
akpéyéré,n. ,,way of life,,,,,,,,0,,,0,0
akpérẹ,n. ,,elephant tusk horn,,,,,,,,0,,,0,0
akpériọ,n. ,,enjoyment,,,,,,,,0,,,0,0
akpérusiavwrẹ,n. ,,padlock,,,,,,,,0,,,0,0
akpọ1,n. ,,world,,,,,,,,0,,,0,0
akpọ2,n. ,,life,,,,,,,,0,,,0,0
akpóno,n. ,,very flat bead made from rubber or palm kernel shells,,,,,,,,0,,,0,0
akrẹ,n. ,,small lizard,,,,,,,,0,,,0,0
akuakua,n. ,,wooden slit-gong,,,,,,,,0,,,0,0
ama,n. ,,bell,,,,,,,,0,,,0,0
ámakáshe,n. ,,angel,,,,,,,,0,,,0,0
ame,n. ,,water,,,,,,,,0,,,0,0
ameóbe,n. ,,ink,,,,,,,,0,,,0,0
"amereka (agbakara) 
 (ekaikai)",n. ,,"locally brewed gin, ogogoro",,,,,,,,0,,,0,0
amerísaguẹ,n. ,,groundnut oil,,,,,,,,0,,,0,0
amiédi (oghwórédi),n. ,,banga soup,,,,,,,,0,,,0,0
amióviẹ,n. ,,tears,,,,,,,,0,,,0,0
amóno,int,,who (coll.),,,,,,,,0,,,0,0
ámrádjẹ,n. ,,charm for protection against the dead,,,,,,,,0,,,0,0
amwá,n. ,,cloth,,,,,,,,0,,,0,0
án,excl,,"exclamation of disbelief, shock or surprise, also used for questioning.",,"Án, idie wọ ta na?",,"Án, what are you saying?","Án, a ji mrẹ emu etiẹ ọna?",,"Án, does one see things such as this?",0,,,0,0
anama,n. ,,pride,,,,,,,,0,,,0,0
ané,n. ,,April,,,,,,,,0,,,0,0
anikú (otéhú),n. ,,lower wrapper (of the two) worn by women,,,,,,,,0,,,0,0
áníní,n. ,,"old coin, originally a tenth of a penny",,,,,,,,0,,,0,0
apene,n. ,,draughts,,,,,,,,0,,,0,0
aphia,n. ,,knife,,,,,,,,0,,,0,0
ápiápiá,n. ,,hornbill,,,,,,,,0,,,0,0
areba,n. ,,very poisonous seed,,,,,,,,0,,,0,0
arere,n. ,,baby louse,,,,,,,,0,,,0,0
arhá,n. ,,March,,,,,,,,0,,,0,0
arhare (ekorhi),n. ,,forehead,,,,,,,,0,,,0,0
arhọ,n. ,,salvation,,,,,,,,0,,,0,0
árhọvwefe,n. ,,special bead worn on the neck like a bow-tie by traditional rulers,,,,,,,,0,,,0,0
árhóghọ,n. ,,contribution,,,,,,,,0,,,0,0
árhuẹrẹ,n. ,,development,,,,,,,,0,,,0,0
áriákpa,n. ,,charm for protection against any poisonous thing taken in by mouth,,,,,,,,0,,,0,0
arido,n. ,,charm for sharp remembrance/knowledge,,,,,,,,0,,,0,0
árírí,n. ,,fishing net,,,,,,,,0,,,0,0
aruẹdọ,n. ,,mercy,,,,,,,,0,,,0,0
aruẹmrẹ,n. ,,prophesy,,,,,,,,0,,,0,0
aruérivwi,n. ,,designated spot where traditional rites are offered to the ancestors,,,,,,,,0,,,0,0
asa1,n. ,,place,,,,,,,,0,,,0,0
asá2,n. ,,bird with red beak that bores hole in the pit,,,,,,,,0,,,0,0
asadáveravwe,n. ,,abattoir,,,,,,,,0,,,0,0
asán3,n. ,,June,,,,,,,,0,,,0,0
asé1,n. ,,acquittal,,,,,,,,0,,,0,0
aseje,n. ,,everywhere,,,,,,,,0,,,0,0
asén2,a,,odd,,,,,,,,0,,,0,0
ásiweri,n. ,,mamba,,,,,,,,0,,,0,0
aso,n. ,,night,,,,,,,,0,,,0,0
atámu,n. ,,charm for effective balance,,,,,,,,0,,,0,0
atánẹ,exp,,it is said,,,,,,,,0,,,0,0
átárhọvwe,n. ,,charm for easy acceptance/answer,,,,,,,,0,,,0,0
atẹtẹ (akpata),n. ,,"tray, flat basin (made locally from a plant called éti)",,,,,,,,0,,,0,0
atikprere,n. ,,rumour monger,,,,,,,,0,,,0,0
ató1,n. ,,chewing stick,,,,,,,,0,,,0,0
aton2,n. ,,savanna,,,,,,,,0,,,0,0
avá,n. ,,February,,,,,,,,0,,,0,0
áviávwe (aviẹn),n. ,,armpit,,,,,,,,0,,,0,0
avwáre1,n. ,,pro we,,,,,,,,0,,,0,0
avware3,n. ,,wide area with collection of ponds,,,,,,,,0,,,0,0
avwárẹn2,n. ,,pro us,,,,,,,,0,,,0,0
ávwárhé,n. ,,charm for lightness,,,,,,,,0,,,0,0
ávwebọ,n. ,,favourite (e.g. wife),,,,,,,,0,,,0,0
avwerhe,n. ,,sweetness,,,,,,,,0,,,0,0
avwiana,n. ,,flag,,,,,,,,0,,,0,0
ávwíkpe,n. ,,charm for postponing evil days such as death,,,,,,,,0,,,0,0
ávwiórọvwe,n. ,,wife always treated with disdain by the husband,,,,,,,,0,,,0,0
ávworo,n. ,,rainbow,,,,,,,,0,,,0,0
avwré (ẹrọ),n. ,,gill,,,,,,,,0,,,0,0
avwro,n. ,,argument,,,,,,,,0,,,0,0
awa,n. ,,hour,,,,,,,,0,,,0,0
